customer_id,first_name,last_name,email,phone_number,state,postal_code,age,gender,join_date
1,Amrita,Morar,amrita.morar@yahoo.com,00292102314,Maharashtra,400001,65,Female,2020-05-06
2,Chaitaly,Varma,chaitaly.varma@gmail.com,2003441324,Karnataka,560001,65,Male,2023-09-07
3,Avni,Gera,avni.gera@yahoo.com,9.18617E+11,Rajasthan,302001,23,Female,2021-08-18
4,Raksha,Natarajan,raksha.natarajan@gmail.com,9.16058E+11,Delhi,110001,31,Male,2021-05-19
5,Chakradev,Chaudhary,chakradev.chaudhary@yahoo.com,05997605917,Maharashtra,400001,53,Male,2021-09-20
6,Qadim,Nayak,qadim.nayak@yahoo.com,03205945670,Rajasthan,302001,44,Male,2020-01-05
7,Watika,Radhakrishnan,watika.radhakrishnan@gmail.com,9.11162E+11,West Bengal,700001,69,Male,2022-10-10
8,Ekansh,Viswanathan,ekansh.viswanathan@outlook.com,03243821250,Karnataka,560001,62,Female,2020-06-22
9,Ekavir,Vyas,ekavir.vyas@gmail.com,3171711120,Karnataka,560001,31,Female,2024-10-01
10,Ekanta,Patla,ekanta.patla@gmail.com,5637965162,Maharashtra,411001,24,Female,2021-10-06
11,Qarin,Mannan,qarin.mannan@outlook.com,9.1561E+11,Uttar Pradesh,226001,34,Male,2021-10-02
12,Anjali,Issac,anjali.issac@yahoo.com,9.1287E+11,Rajasthan,302001,25,Female,2024-09-23
13,Mitesh,Sani,mitesh.sani@gmail.com,2036213296,West Bengal,700001,58,Female,2023-10-23
14,Advik,Thaman,advik.thaman@yahoo.com,07361900906,Delhi,110001,20,Male,2022-05-31
15,Samuel,Wason,samuel.wason@outlook.com,04808415378,Delhi,110001,32,Male,2022-08-19
16,Ishaan,Ratta,ishaan.ratta@gmail.com,03589773377,Gujarat,380001,58,Female,2021-03-29
17,Chakrika,Lanka,chakrika.lanka@gmail.com,9.17318E+11,Telangana,500001,31,Female,2023-11-30
18,Jalsa,Yadav,jalsa.yadav@yahoo.com,03164349057,Delhi,110001,56,Male,2022-07-29
19,Simon,Ganesan,simon.ganesan@yahoo.com,5961421878,Tamil Nadu,600001,28,Female,2024-03-31
20,Barkha,Master,barkha.master@gmail.com,6969619570,Rajasthan,302001,32,Female,2021-06-14
21,Kavya,Sharaf,kavya.sharaf@outlook.com,3686527487,Maharashtra,400001,32,Male,2022-07-22
